Time[s], SCL, SDA
2.5109055, 1, 1
2.5109305, 0, 1
2.5110125, 1, 1
2.51101475, 1, 0
2.51103975, 0, 0
2.51114875, 1, 0
2.511149625, 1, 1
2.511174375, 0, 1
2.51125625, 1, 1
2.511282625, 0, 1
2.511364625, 1, 1
2.511391, 0, 1
2.511473, 1, 1
2.511499375, 0, 1
2.511581375, 1, 1
2.51160775, 0, 1
2.51168975, 1, 1
2.511716125, 0, 1
2.511798125, 1, 1
2.5118245, 0, 1
2.5119065, 1, 1
2.511932875, 0, 1
2.512014875, 1, 1
2.51204125, 0, 1
2.51212325, 1, 1
2.512149625, 0, 1
2.512231625, 1, 1
2.512258, 0, 1
2.51234, 1, 1
2.512366375, 0, 1
2.512448375, 1, 1
2.51247475, 0, 1
2.51275725, 0, 0
2.516460625, 1, 0
2.516461875, 1, 1
2.516486125, 0, 1
2.516568125, 1, 1
2.516571125, 1, 0
2.51659525, 0, 0
2.516704375, 1, 0
2.51673075, 0, 0
2.516839875, 1, 0
2.516841, 1, 1
2.516865375, 0, 1
2.516947375, 1, 1
2.51697375, 0, 1
2.51705575, 1, 1
2.51705925, 1, 0
2.517083, 0, 0
2.517192125, 1, 0
2.517194125, 1, 1
2.517217625, 0, 1
2.517299625, 1, 1
2.5173, 1, 0
2.51732675, 0, 0
2.517435875, 1, 0
2.517438, 1, 1
2.517461375, 0, 1
2.517543375, 1, 1
2.51756975, 0, 1
2.51765175, 1, 1
2.517678125, 0, 1
2.517760125, 1, 1
2.5177865, 0, 1
2.5178685, 1, 1
2.517895, 0, 1
2.517976875, 1, 1
2.518003375, 0, 1
2.51808525, 1, 1
2.51811175, 0, 1
2.518193625, 1, 1
2.51822, 0, 1
2.518302125, 1, 1
2.5183285, 0, 1
2.5184105, 1, 1
2.518436875, 0, 1
2.518518875, 1, 1
2.51854525, 0, 1
2.51862725, 1, 1
2.518653625, 0, 1
2.518735625, 1, 1
2.518762, 0, 1
2.522748375, 1, 1
2.522750375, 1, 0
2.5227755, 0, 0
2.52288475, 1, 0
2.52288525, 1, 1
2.52291025, 0, 1
2.52299225, 1, 1
2.5229945, 1, 0
2.5230195, 0, 0
2.523128625, 1, 0
2.52312925, 1, 1
2.52315425, 0, 1
2.52323625, 1, 1
2.523262625, 0, 1
2.523344625, 1, 1
2.52334775, 1, 0
2.523371875, 0, 0
2.523481, 1, 0
2.523482875, 1, 1
2.5235065, 0, 1
2.5235885, 1, 1
